    41    467    334    500    169    724      0
   478    358    962    464    705    145      3
   281    827    961    491    995    942      3
   827    436    391    604    902    153      1
   292    382    421    716    718    895      3
   447    726    771    538    869    912      3
   667    299     35    894    703    811      0
   322    333    673    664    141    711      0
   253    868    547    644    662    757      3
    37    859    723    741    529    778      3
   316     35    190    842    288    106      1
    40    942    264    648    446    805      0
   890    729    370    350      6    101      1
   393    548    629    623     84    954      0
   756    840    966    376    931    308      3
   944    439    626    323    537    538      2
   118     82    929    541    833    115      3
   639    658    704    930    977    306      2
   673    386     21    745    924     72      1
   270    829    777    573     97    512      1
   986    290    161    636    355    767      0
   655    574     31     52    350    150      1
   941    724    966    430    107    191      1
     7    337    457    287    753    383      2
   945    909    209    758    221    588      0
   422    946    506     30    413    168      1
   900    591    762    655    410    359      1
   624    537    548    483    595     41      3
   602    350    291    836    374     20      1
   596     21    348    199    668    484      2
   281    734     53    999    418    938      2
   900    788    127    467    728    893      0
   648    483    807    421    310    617      0
   813    514    309    616    935    451      2
   600    249    519    556    798    303      3
   224      8    844    609    989    702      3
   195    485     93    343    523    587      0
   314    503    448    200    458    618      2
   580    796    798    281    589    798      3
     9    157    472    622    538    292      3
    38    179    190    657    958    191      0
   815    888    156    511    202    634      0
   272     55    328    646    362    886      0
   875    433    869    142    844    416      3
   881    998    322    651     21    699      1
   557    476    892    389     75    712      0
   600    510      3    869    861    688      3
   401    789    255    423      2    585      2
   182    285     88    426    617    757      0
   832    932    169    154    721    189      1
   976    329    368    692    425    555      2
   434    549    441    512    145     60      1
   718    753    139    423    279    996      2
   687    529    549    437    866    949      0
   193    195    297    416    286    105      3
   488    282    455    734    114    701      0
   316    671    786    263    313    355      3
   185     53    912    808    832    945      0
   313    756    321    558    646    982      0
   481    144    196    222    129    161      0
   535    450    173    466     44    659      0
   292    439    253     24    154    510      0
   745    649    186    313    474     22      1
   168     18    787    905    958    391      2
   202    625    477    414    314    824      2
   334    874    372    159    833     70      1
   487    297    518    177    773    270      2
   763    668    192    985    102    480      3
   213    627    802     99    527    625      3
   543    924     23    972     61    181      1
     3    432    505    593    725     31      2
   492    142    222    286     64    900      0
   187    360    413    974    270    170      1
   235    833    711    760    896    667      2
   285    550    140    694    695    624      3
    19    125    576    694    658    302      3
   371    466    678    593    851    484      2
    18    464    119    152    800     87      1
    60    926     10    757    170    315      1
   576    227     43    758    164    109      1
   882     86    565    487    577    474      0
   625    627    629    928    423    520      1
   902    962    123    596    737    261      1
   195    525    264    260    202    116      1
    30    326     11    771    411    547      3
   153    520    790    924    188    763      0
   940    851    662    829    900    713      2
   958    578    365      7    477    200      1
